ticker,record_date,board_reco_date,agm_date,source_url,confidence,notes
SBER,2020-10-05,2020-08-21,2020-09-25,https://www.e-disclosure.ru/portal/company.aspx?id=3043,high,convoke 2020-08-21; board_sf 2020-08-21; agm 2020-09-25
SBER,2021-05-12,2021-03-19,2021-04-23,https://www.e-disclosure.ru/portal/company.aspx?id=3043,high,convoke 2021-03-19; board_sf 2021-03-19; agm 2021-04-23
SBER,2023-05-11,2023-03-17,,https://www.e-disclosure.ru/portal/company.aspx?id=3043,medium,convoke 2023-03-17; board_sf 2023-03-17
SBER,2024-07-11,2024-04-23,2024-06-21,https://www.e-disclosure.ru/portal/company.aspx?id=3043,high,convoke 2024-04-23; board_sf 2024-04-23; agm 2024-06-21
SBER,2025-07-18,2025-04-22,2025-06-30,https://www.e-disclosure.ru/portal/company.aspx?id=3043,high,convoke 2025-04-22; board_sf 2025-04-22; agm 2025-06-30
GAZP,2020-07-16,2020-05-21,2020-06-26,https://www.e-disclosure.ru/portal/company.aspx?id=934,high,convoke 2020-05-21; board_sf 2020-05-22; agm 2020-06-26
GAZP,2021-07-15,2021-05-20,2021-06-25,https://www.e-disclosure.ru/portal/company.aspx?id=934,high,convoke 2021-05-20; board_sf 2021-05-20; agm 2021-06-25
GAZP,2022-07-20,2022-05-26,2022-06-30,https://www.e-disclosure.ru/portal/company.aspx?id=934,high,convoke 2022-05-26; board_sf 2022-05-27; agm 2022-06-30
GAZP,2022-10-11,2022-08-30,2022-09-30,https://www.e-disclosure.ru/portal/company.aspx?id=934,high,convoke 2022-08-30; board_sf 2022-08-30; agm 2022-09-30
LKOH,2020-07-10,2020-05-18,2020-06-23,https://www.e-disclosure.ru/portal/company.aspx?id=17,high,convoke 2020-05-18; board_sf 2020-05-18; agm 2020-06-23
LKOH,2020-12-18,2020-10-15,2020-12-04,https://www.e-disclosure.ru/portal/company.aspx?id=17,high,convoke 2020-10-15; board_sf 2020-10-15; agm 2020-12-04
LKOH,2021-07-05,2021-04-21,2021-06-24,https://www.e-disclosure.ru/portal/company.aspx?id=17,high,convoke 2021-04-21; board_sf 2021-04-21; agm 2021-06-24
LKOH,2021-12-21,2021-10-13,2021-12-02,https://www.e-disclosure.ru/portal/company.aspx?id=17,high,convoke 2021-10-13; board_sf 2021-10-13; agm 2021-12-02
LKOH,2022-12-21,2022-09-23,2022-12-05,https://www.e-disclosure.ru/portal/company.aspx?id=17,high,convoke 2022-10-28; board_sf 2022-09-23; agm 2022-12-05
LKOH,2023-06-05,2023-04-20,2023-05-25,https://www.e-disclosure.ru/portal/company.aspx?id=17,high,convoke 2023-04-21; board_sf 2023-04-20; agm 2023-05-25
LKOH,2023-12-17,2023-10-26,2023-12-05,https://www.e-disclosure.ru/portal/company.aspx?id=17,high,convoke 2023-10-26; board_sf 2023-10-26; agm 2023-12-05
