ticker,date,value,ccy,source
ALRS,2014-07-18,1.47,RUB,iss_history
ALRS,2015-07-15,1.47,RUB,iss_history
ALRS,2016-07-19,2.09,RUB,iss_history
ALRS,2017-07-20,8.93,RUB,iss_history
ALRS,2018-07-14,5.24,RUB,iss_history
ALRS,2018-10-15,5.93,RUB,iss_history
ALRS,2019-07-15,4.11,RUB,iss_history
ALRS,2019-10-14,3.84,RUB,iss_history
ALRS,2020-07-13,2.63,RUB,iss_history
ALRS,2021-07-04,9.54,RUB,iss_history
ALRS,2021-10-19,8.79,RUB,iss_history
ALRS,2023-10-18,3.77,RUB,iss_history
ALRS,2024-05-31,2.02,RUB,iss_history
ALRS,2024-10-19,2.49,RUB,iss_history
CHMF,2013-08-12,2.03,RUB,iss_history
CHMF,2013-10-31,2.01,RUB,iss_history
CHMF,2014-06-23,2.43,RUB,iss_history
CHMF,2014-09-22,2.14,RUB,iss_history
CHMF,2014-11-25,54.46,RUB,iss_history
CHMF,2015-06-05,12.81,RUB,iss_history
CHMF,2015-09-28,12.63,RUB,iss_history
CHMF,2015-12-21,13.17,RUB,iss_history
CHMF,2016-07-05,8.25,RUB,iss_history
CHMF,2016-09-02,19.66,RUB,iss_history
CHMF,2016-09-16,19.66,RUB,iss_history
CHMF,2016-12-13,24.96,RUB,iss_history
CHMF,2017-06-20,24.44,RUB,iss_history
CHMF,2017-09-26,22.28,RUB,iss_history
CHMF,2017-12-05,35.61,RUB,iss_history
CHMF,2018-06-19,38.32,RUB,iss_history
CHMF,2018-09-25,45.94,RUB,iss_history
CHMF,2018-12-04,44.39,RUB,iss_history
CHMF,2019-05-07,32.08,RUB,iss_history
CHMF,2019-06-18,35.43,RUB,iss_history
CHMF,2019-09-17,26.72,RUB,iss_history
CHMF,2019-12-03,27.47,RUB,iss_history
CHMF,2020-06-16,26.26,RUB,iss_history
CHMF,2020-09-08,15.44,RUB,iss_history
CHMF,2020-12-08,37.34,RUB,iss_history
CHMF,2021-06-01,36.27,RUB,iss_history
